～くん	Mr (junior); master; boy; - (generally used when talking to or refering to a male that is younger than the speaker.)
～さん	Mr.; Mrs.; Miss; Ms.;  (used after a persons name, when that person is of the same social status as you)
～ちゃん	Miss; Ms - suffix for familiar person (generally used when talking to or refering to a female that is younger than the speaker.)
あなた 	(1) you (referring to someone of equal or lower status);  (2) dear (what a wife calls a husband);
ありがとうございます 	thank you;
いい / 良い	good; excellent; fine
いただきます	expression of gratitude before meals;
いつ 	when; how soon;
おはようございます	(1) good morning;  (2) used when greeting a work collegue at any time of day for the first time that day;
おやすみなさい	good night;
お尻 	bottom; buttocks
お腹 	stomach;
空く	to get empty;
お腹が空いた	to become hungry; to get an empty stomach
ごちそうさまでした 	That was a delicious meal (said after meals); What a wonderful meal
ごめんなさい	I beg your pardon; excuse me; sorry
こんにちは 	hello; good day (daytime greeting);
こんばんは	good evening;
コンビニ 	convenience store;
さようなら	good-bye;
...します 	will do … ;
スーパー	supermarket;
すごい	amazing (e.g. of strength); great (e.g. of skills);     (Can also be used in negative situations 'amazingly terrible' etc. )
すみません	excuse me; pardon me; I'm sorry;  (Also used in situations where a westener might say 'thank you'. For example if someone opens a door for you at a store, it is appropriate to say すみません 'Sorry for troubling you' kind of feeling, instead of 'thank you'.)
タクシー 	taxi;
だれ 	who;
テーブル 	table;
ではまた / じゃまた	see you later (used in casual correspondence and conversation);
テレビ 	television; TV;
トイレ	toilet; restroom;
どうしたの?; どうしたん? 	whats wrong? (casual)
どうして？	why? (casual)
どこ 	where; what place;
はらへった	I'm hungry (casual)
ホテル	hotel;
また明日	see you tomorrow
やめて！ 	stop it!
レストラン 	restaurant
わかりません	I don't understand
上手	skillful;
下手	unskillful;
不味い 	unpleasant (taste, appearance, situation);
人	person
俺 	I; me;  (male) (sounds rough or arrogant - generally used by teenagers and young adults)
僕 	I; me;  (male) 
先生 	teacher; master; doctor;
冷たい	(1) cold (to the touch);  (2) coldhearted; unfeeling;
冷蔵庫 	refrigerator;
冷酒 	cold 'nihon-shu'
助けて	help!
危ない 	dangerous; risky; hazardous;
危険	danger; peril; hazard;
口 	mouth;
喉	throat
喉が乾いています	I'm thirsty
土曜日	Saturday
大きい	big; large
大丈夫 	(1) I'm okay; It's okay   (2) (with a rising inflection) Are you okay?; Is it okay?
大学	university, college, etc
女の人	woman
女の子 	girl
女性	woman; female
嬉しい	happy; glad;
子供	child; children
家 	(1) house; residence; (2) family; household;
寒い 	cold (e.g. weather);
小さい 	small; little; tiny;
彼	(1) he; him;  (2) his;  (3) boyfriend;
彼女	(1) she; her;  (2) her;  (3) girlfriend; sweetheart;
悪い	difficult to ...; hard to ...;
手	hand;
手の指 	finger
手洗い	restroom; lavatory; toilet;
携帯	By itself just means 'something carried in the hand' but is commonly used as a shortened version of 携帯電話 which mean 'mobile phone / cell phone'. Shortend version is the equivalnet of saying 'mobile / cell'.
新しい	New
日	(1) day of month; (2) counter for days
日曜日	Sunday
日本 	Japan
日本酒	Japanese rice wine. Often reffred to by westerners as 'sake'.
時計 	Clock
暑い	hot (weather, etc.)
月曜日	Monday
服 	Clothes
木曜日	Thursday;
本 	Book
本屋	Book store
机 	Desk
棚 	Shelf
椅子	chair; stool;
楽しい	enjoyable; fun;
歯 	tooth; teeth
死にそう 	(I) feel like im going to die; (you / they / him) look like they are going to die
水 	water (esp. cool, fresh water, e.g. drinking water);
水曜日	Wednesday
火曜日	Tuesday;
熱い	hot (thing);
熱燗 	hot 'nihon-shu' 
爪 	nail (e.g. fingernail, toenail);
男の人	man
男の子 	boy
男性	(1) man; male; (2) masculine gender;
目 	eye
私 	I; me;  (feminine)
空港	airport;
美味しい	delicious; tasty
耳 	ear
肘	elbow;
肩 	shoulder;
背中	back (of body);
腕	arm;
腕時計	wristwatch;
膝 	knee;
舌 	tongue;
花 	flower
英語 	English (language)
質問 	question; inquiry;
足 	foot; leg
足の指	toe
近い 	near; close; short (distance);
遠い	far; distant;
酒 	alcohol
金曜日	Friday
雑誌 	magazine;
面白い	interesting; amusing;
靴	shoes; boots; footwear
鞄	bag; satchel; briefcase
頭 	head
食べます	(I) will eat
食べません	(I) wont eat
食べ物	Food
飲みます 	(I) will drink
飲みません	(I) wont drink
飲み物	Drink (the object not the verb)
駅 	station;
高い	1) high; tall;   (2) expensive;
髪の毛 	hair (head);
鼻 	nose
ペン	pen
コーヒー	coffee
パン	bread
ケーキ	cake
ビール	beer
アパート	apartment building; apartment block; apartment 
メニュー	menu
ハンナ	Hannah (female name)
ライアン	Ryan (male name)
ジェームズ	James (male name)
サーラ	Sarah (female name)
アメリカ	America
オーストラリア	Australia
イギリス	England
一	1
二	2
三	3
四	4
五	5
六	6
七	7
八	8
九	9
十	10
百	100
千	1000
万	10,000
時	(1) hour;   (2) time; when ...; during ... 
何	what;
円	yen; Japanese monetary unit;
